s	-0.33698724679756641598782900822950097167625881023656453882587797459690471693875779863237267463257372057034019987821159543205679457839345027864526269177997625	-0.8222125082124025263236332099188547359768893975201992386153890783167679403609869833434363496556752649989928989063270507220536388422672371183432746660572731
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	1.3634734168558821276440606804886066973668440821530660934948554563195953245798405023793801520988123880849000726181390232920415272517504371716381367193351032	-0.1011544562098025661498106463804277162031901418190384890475705124877195546807962514204781045755257207553337190359207854809880704286363472667130185362805384
1	-0.0500537798535907154889409327621350435235859567820139990203705592979333580407171059750967447064442381757593081852778725916233415484212664908497904002248266	-0.0367968047837503835610996358034676580383484344049070111502117300830623357096480869676471755756490106578305127858437139957724151414857223514531684341683382
2	0.1108036367133119032542308148352694290015735638308304763793649205407159789120383249724851955378754661908420173561893031487148837945222356817413574083839211	-0.0681382703020539836672677987035168937933905900304618824911778174621453224968583429135120277192328642795849981509872938915439102468081167750616988897531701
3	0.1579174665514781137405637066544035728353865173295269785086913433807300812293650481307930680487598624564318841864521364536780920449666435189130843959045667	-0.0155537308653299222538990114285737400680374144246939334284892034109501422407892261378692214774084548242833453451291814374517167499118739419241513695540197
4	0.1163996385189666335480152651689771999295776300421581151826049660227791826561641409840146097978709214432558019663382507408805079066327063027897466776656805	0.0486618584052221063645379467355987010164817760898687329811556555605974315797861305903246696539446965299097035045740391793512646174352356999433827490547532
5	0.0428351667340251645420249747651040110474524396069043550513277838895061558010373144216494854479991090209854568474933969754010921797322434351590905376208709	0.0760097770607208603758596529046316057656968538095530915539073112355715957511323237916450835995823950341967520847752085363226430039247584286906706815021649
6	-0.0157698260321502393215574517044910914194663905151304812456450291659663839444879776320986700459474340867161353855327388517006810441164503193249605369793125	0.0564051176257723254705350469822544577756968334955363962802338652497921951351390526791976403479126994773101057477787746569182310960932471917939168047171811
