s	-0.304656296507758712707696190854753356661937836997308769426477812336428989802624359914800515707857207542413401540125956889696506219334309929369841820375287031	-0.162406706078989947058830124225922373134479358761936450709204733687332653162050470796762389725633514469688956218991504902431119725137370051041988228820538773
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	417.42114961904056833053883870331177909390109802818982680056461147784821535092637085266407086817877841436112018230440919040079905522899742432934802331293407	-92.98865554223425330931166316959624440878370303130889391709380258106865028273498432275135236723402842657673160040910053088894330684493881775843707524974
1	-86.6030118871500753871315685875562370668548797176631463443895865911815835241343013207457007519651431372518347090484023390772685021788929190599778834033806	67.99428475437037968303056346916919423356744087382016698535234670443477655768311075756558784826022687267020300793555278287476090114003860750388899060920861
2	21.56878229897674701747097024857844131455783359449555686771974566240442284818123080891332965836257135137414113143153940091997046785244991576646348920186666	-25.13047682312752025114775449053931090362404068172378250685258239204661103167495517173820163446868410863098501281362560358098507127813141347521680375405602
3	-5.36131264189580260232938453517734139620066612266647533390812201880021222601738450525126529096272200442595418734987143830229731094531279612742974689787367	7.72072247204820856198619004853538010757300316434648326266618804393198267663292786836438882579818033680529413225350498703913111384974549747332369276404549
4	0.96312288531527531133689337252336446013337598788701007498879089370897617482578984798410069339969760172401641995897307146121695073460210526969110614347971	-1.89815415562796763943513743109881405895401410690499441535535550616321126937908772312562798488899243651249136900490899041562463291118324973337692727625297
5	-0.1706959086636098896288035002635941283172323314411923048052246402124178225885813014623353835216707630421293328223257906059679283090182711218592625967741	0.40095439440888657794700599882929482344678472608023333725219205332408057686518482784701889624612663428940179356325038905868891511519189189171321445685704
6	0.03214344930446100993008467830696051366453066630562050250105660952991358465052422857512610384584317566482354024556984597375740313462942148003982786689872	-0.07218530200843418620807973826909828688782309305526791711547763295443687385745429204209595911360898183238051650183582167650840418389785769796067796311089
