s	-0.58801233459500310947949600201737942196639978059092993013238364113041542636467947319277097931297444597319650276133979376995835121301788549956921365380597520	1.40296064781598375056510712652031271921980638763463817629966138455112259330518937584554890002032444911846359493420151979202226430537330169611322933242695563
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	-0.019619623015413422696269129062937195405263535045671538481901219412487496213451695674367616064865358294924291941732073378824337692642933000954580166620642437	-0.018080969190907157117208414117974409121856463043346450607023732950781907337020668316103328083242364767038027764915526845337303531181701344324750555676245356
1	0.001517083301586961358582875059410712211778103516551833378166322026823748157223686305684282184029400235907825454134022188599646677568789623707884645704194569	0.000311237698633655219539584931955225501838527515096055297726204789965335762070056041639387673126668482372766910983691788066522371633958200475980653355707247
2	-0.000321499912589976735687376228312648921551631525938805800086356877397169595238712072563107996992904888961000851032236800653666143094618540088143502772063048	-0.000063805973507972375150936957265751253543459418291433996473117804571953775019427247505008797210268600453361634573705029964706237301959526855725757884479547
3	0.000073167028027816254117648664005614274174710503533057074922788206244575106006747027291413032959287280798133441474479123327684582894356578900021151885279853	0.000017062003043145977639451081976749214048281669747952650674712548410513997224308161694572311467822697763504248409598009006819230352752824301627300071636484
4	-0.000010164011296751491060264382645162708628725779559371019744744739790680457383781727124957481654194438129928586550085866034309334243248108435381725671850877	-1.831905348650946312174347719895949834239596657640117504260527555880800063222579907877434908557892182474057627146150136993392588581861287576698544766931e-6
5	1.659003244043374791111424467674811816830653069073430003724681137854924670520439196862069375046006441382738735930635560861944499686740949310100076681898e-6	6.83671225152421486083653334083535210935011634226915684171782587360375393162446627347362119031902113354392068569782671656113641071328623803722608138656e-7
6	-1.34334782217882391163250998863974631794646236531793219082509015155960706896236493705113726394927665655609192424209386982103100232256826909156326935534e-7	-4.2755040474025090244103556586897905988462861394672333954062902774794704198791955884773514180553296827606069109961601108338134077942069664319298797276e-8
