s	-0.84610706930751223770657615068412149448191241410164753090853056114906360154019991955367852609766202327912269536179194428165713486976024300172891295813114336	2.02838315127476047655882213263720063441512166214702141721215110124921327764561836153719116410206298628228558055226062934967264234115033647199890058005060346
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	0.0001631018163569219781607905845244987665632189942636878721923237685596411296501254630258080497021724806472154212127047523864402825331349430618743064800342155	0.00043346014762316255683091614760301257067762245141675263679577854720649943164337476983938692897121812336961940752797563374117991643124863104410048602109119476
1	-0.00004193223769054767652417318846168941287845074404105052891537730821788817958999091427867494082149554908421883944466532237302210517364341318081826091211933988	-0.000011753459507325161953857911692754480003656339272998021193697476547871925453655615403259055532913842378766992573229483596425404554975851449697205298768299
2	9.27638959184918216763311607378728668522060298840845595310962392497022935916411302404767289057365133223364544789702148103267622828865259910194665434141356e-6	1.15070064980725074138701717487192259064684159808561091573492219147395841550448975218001814539107789510309711092642395099646857241819239030515961775929972e-6
3	-2.14783732381467404529723734562604540692126446891203450429003288491168665009173153815414731504146909982041594754014160192871223204258042588813485273710594e-6	-6.335700452021187159052468364393859158806190699695117213740921461055616418166305782850195207712175191102433757598008604450957232608053746782268989296435e-8
4	2.9702229063441131997002790641205407758064877232073626668477440182069398222981587024976335598224540803273134591493425814786993099569011670775630771964818e-7	-1.003139379204377471052867610388235694496925807910371130060768151000790518707900707902302686004850032398477738694363423191999515021945641265272507170746e-7
5	-4.430173728454033064959152426928793570688923843813474341746535803356558334245062253668356126075056788008377080847363640776758004555841405288787757972674e-8	2.249197144272910297283998447020230608700310909676640618624902020315238471718623830950271373739406777311946746406049292877631581336636028612049608985087e-8
6	3.67144982201189781968217828435777368995706121245512646444997092644980722851674819518498460656867195106326224337734662235057790925313923794647365088979e-9	-5.91391476413308430952737093950089578490410178969805926573821496063374989849227749260295376635777395213896442991870565857579481599263714819015096881417e-9
