s	-1.410294999558070349236436426092990821297295220955726936171977355252073256113452019039225413771362459900673752850048134625355122401693420005721488772782978	0.503009659830308451787186047083166050675830618560773076126167400858777711732499202011580144793403171996277575647837696276047589661058898202145554044041505
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	4.9911708861693404918530677557094070332060333283733337337853111130385402025390734138288022794473088188532575498644960498775038472536715991316074609144265	-10.8670377544583578148604663919119535162724697661691543842015570354020287711851831442612891074525526811972225200991334020284060363836924372163898890545532
1	-2.4561798258231150682749455708691001611251880429358870881491103525437184574101570442198828470988486959320824136838778292500465977317001137008643121260274	6.8695435562283897371812939944519417425967533227742983282504157195715944683574886739664946180286028421537655135838006370024475955948785488785163178859248
2	0.9979286086731852001634057276070088079946504582567169771842659935205144246453856728694876135750322504447105460582745395189144215187788276333712350477236	-3.2051754442968447216309974739392446318002199703517418600243717495674240178417437200485221990847928590141370665809940176761058467914267893593912056010888
3	-0.3777077498569765161300590066003477584663859584252570870654299692823986515094811393620557172726366449282350990989728357286645386922211764936278749842556	1.2972551363192180861303416753755623132753882744145303718773777843678019599857552137861096238531516016675073651781126270421531521005058728992329674526133
4	0.1236580181603923674300966082390239890277320208214364816114137451796118423064452843425867542063422034331848393674701777747875647513739287980335090247406	-0.4569574684530006057971328973360891085552714860793507300067330365751331537943153534220613457300357297214222810646701904149441504322272907520764583714148
5	-0.0361104194794784643948518883691435011528059151793365364544371256073794126444317932988606534776329273099048126813480056595951778812060280062449463932598	0.1461199502583396554126256898258319966573875461275834864609403749693825838146534234232883526004842433751024048554824314086949655852706484869529854416
6	0.0089141671097816392141443574996206872333740675866690000020940421673076753910847961534438527487475781117203204700487741467279773545646329591061061386241	-0.0430398909172474911701140133176150332109561934536961633628815007672439141582810351216036428238646790332181754507429901290339679086289152607796086055067
