s	-1.893739517016341665983638444144885628475014674244183303912052567496352772207434142969100349982064891339763604988358607158803526238454879776685815552482381	-0.414946124659005446033255574330787247139745875274512949335553100798549590936647502400807356305211894780849588233615173087683677897364036058528092180692213
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	-1.1145948475552685637421088226779327740270733436090494868491050007885112780180394811459683607037912454046915717672774873583480926995711435238120842946041	-1.18780159638668911045497577444528706115189674172151606064440530239659252173281989392088705843723451585531602189806098785851425422281420178407266761789277
1	0.90469434902261091645668316605837857103659226270799136939770949334404067710214831291522578597109659896743988264477887889252620663155851971526407013348007	0.6071136229880122203666148765692330825509409786500592388902330694082252937261740463492511592593248287229750134675218407167965945699072979318896328546027
2	0.33800243302266844798424667723933493757322561066898658365387538776365255360853046238075721043056802713540504215947989527831917787704023762295824796009457	0.059720580854608512205767315645944818679735019684413815858835155215929843049209956819197693164529515153178235441258647508751578574471823981987013771953
3	0.10088736006389285161258753963908810214585471672971372606452160099288715692290625764624258085417460284258513941870631431528725532198000617116635181613723	-0.08165960648583363381972317214307402175784004098366834410931250477981672630746482721760684725321461718525183050630300741959346128787909202861879117841886
4	0.0553409494852242568598459922562225015688188656253533379506127338823427794257542600045608713261606157630073245576713333931546572901445616803112532687878	-0.04079929463914218730384318390890302441771929757998535254799458427599964944961176659651344524416641256894934944526531606423198135318517776885970878795518
5	0.05597667496896113127706081620768420346407423411128377135955212087307711663710180711524218047252009602689750122842494941483701989099624999028645134004341	0.00847217667243946153447198331116075002704909093304300238974110899130698798394925036485385300709841720788973765571736851591350789412026352006618545428784
6	0.04539828358127807254589977526324543327316405129738500876395866907507539328586378386980034229635058417841097040566711431245972452884372610630967202523883	0.01887049871819740652546272029345003265380729462429167796882566481091994950671094899576226864059892701970583665487960258350832981546943655874897806161716
