s	-0.1779246313778724125652120005152178509675423181561187703639623721770992017316962715759234642097336789737598225764160641944325887735662226216980430348181479	0.747343368836081044564012120434754107823160172903535881938910623355711335675523008900239525461539174202261286644053489464729872338914566586615874614796782
N	50

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	0.947776992898217314534628132691527975975837431796023975353176737809512263672565655587448042146767283597805035612005491760971236074154845050184299076264419	2.03726115452631606280995009172925971841222313891372708489448455217374296675528391797550228218661759990981683330734393606912402121946611204131514510542437
1	0.439861983471804655662819180466154163461810052036003356554680242022318075393578850189628256675984510884954574183031013499179351449914768016927415286281741	-0.360010134504750713343857209809594330575309138141726813354098238906451954547181963374943569846733194386103900627632618065642020192882649536380782023095036
2	-0.154772856570410024423119527188267034038303904064520272000281970239991447874051212464450423292066307102669369556565762977470846635300269720840571983897542	0.066809607108465844303009471626483131822196028176468714573791762334933894622741741277833016388799728775228526930809279052874883143654701086606033521497393
3	0.051908101663270679484534748154604879599531401601728134300943149210975606323543900285552997232353131580678893721660350107097276898573886120468350253043297	-0.012688245515472457083410521053055647899169437358959513072395092041798701560539522594457898202901544771017972217818195416891537977798810593889897198260185
4	-0.015129093190374256923579896224064531722254702876431215321697956034890175090717964954872415079284410726214164700066655293811863732758475653768196601936394	0.000400275539236449273696421969870365513412597546966349568984587439852323203384578790702302594296198199338139555558788579787242779813388183498565693789242
5	0.004386906385246823081159963023478856516999699030369684402906276856908869270658579507355893541259771053141037069675681511133858766450173853224993546094649	0.000097128666698349488023407526198991021291934144939312819669121046838372066751817998576839305477954659967921813389050621947488994110264898054220365068739
6	-0.001264104266589173330562253155139215253402099036589294155684573446053242531533669442070550647788456965493647266876515861395028069718564693651851120830683	2.640246898910898604643416581195549128163095454582225229947180165147903015043684596232593597718288036401182786419508102438137098604026471491732297255e-6
7	0.000364096929170556290186592139129207606964340623475632545361363408035403942528491437127394716445887692242987445180619846071606206592717318578079725546223	-0.00004399197418584785176056716167156584875458930206010360121995203748714305654531936064709432469559959568682595275021112362109013326809105306274356493401
8	-0.000104042058389728997432562074359253314839785168134263666619995936365233957681778703658860322161081344281983138230075088175557545709291318121574507090288	0.000033694579634963003192088743132780807982355129497612379367026728237455679200932969422069181069535541547991801679449016225138671727287413920161228983118
9	0.000028429830150751972103970518908471434255128965609743816395603278879252207938480466347113208223559921452014735784589886428379441959203593485494501638771	-0.0000183355605367767753623797047959145566497111375959257835435958280432442493948675250319384107063116906224535701810938004740404851773638365075441024046
10	-6.945799228449365449459507916876396254849220391203847649545966834745625773579817344246876193116828171865737283875605711588480029989538909573643063441e-6	8.490027042309703239911111811378851011993061489327245868055252870596117594996917342833372303583135994895095970215806070943816461130771036483008134496e-6
11	1.228997876784122267233999157729953651381131863737110468887541863900338938617556512322952741192914488688791668456510881293503628188028519072451192663e-6	-3.532293589492692966135029024480904025016409662249274777068218004417906949179063197938699305309209068466292403829194853829186470961367202105119211994e-6
12	5.5658814824882165485176245480040118266116913811813285861169991134064073606293503065044658889764140802594222795982986727416193132183137407827283091e-8	1.338821482220235477738575819390566112303067307269348437417997344281493231955769380925040934764050688589471453653809573485584923221537661208980842705e-6
13	-2.11030575913818293696718246445146328202555856905995964212289269956024766950904354877481007057482196866175989061011819102928793141798834816263788593e-7	-4.5609984695837830910683557678430518048541810053678868397952230166259127520910519129898090942083475810271762184389306255429041796808769716345307072e-7
14	1.45337708561199418062101496450945909271313475338208573865743128078845423347612495768578173130468159410903913759974284416174961533817572042782289295e-7	1.31968549518215296698071185564947668829024329498099112189932475040752233387592779231468465304572963513601183885197111095624467218773829969457702427e-7
15	-7.5103837953953210249940750449306538912479887512175728248197303331762246600196449960321885229021553563185631452139499387790125208403663857986727948e-8	-2.5985321617888472067429234527106295971144245842256426611222865934808944709676296421321444502522988796087010410269636819235883914647999013466517414e-8
16	3.310699422565655726710809584043907200083083727472302857813485874696381704545176022027134765273685561116162437180400629790694934351078069885300347e-8	-2.39246875611710423961590299412064483725479405333853626148116205482477262195051935030662037938318501751671866316629785613907722723272596318699644e-9
17	-1.2661178875961046562028202391788742372054923342938037897172046862244233464101596490185411049019227321298269099702097632505697150990120156525187429e-8	6.539871733465001199421306409914711703451568890794977012806040420141064147769234182747003999759666581057608551132643267195744596986223259412671851e-9
18	3.99535798983937148536832656721288831593822261249539366401464391333428432456416533931371044313885850699089828699636113981795269048567493645912499e-9	-4.830925215984254366989351741043606968794770275145476201008423375266487893002761882444781382455759066061093486088781997239035941007205212466142637e-9
19	-8.06819179321745944419813252771811444419507003691238636954907238403562755599599131678148628091619228502203699988707061477353808259131951747345203e-10	2.700764818692827593230388361991578389176933231578091068295646468790581139065448973764153608565459354166670689840415628658199944895271159522731144e-9
20	-1.38978837844122572291643658214946971590921438338755318647187917016987199878236084278804676058005930857701526775477903884939548551168896345087959e-10	-1.285049732393770277889504844747578792578074875105302852606160942941336908050062070715847357107349565042005518876472365627498783797037508528137807e-9
21	2.90787167872255216680590883930955957509932328484796932100476129758802565170759533613881127174762629146391978086939588716606206025763940735494802e-10	5.2870772525316179004204087178111179269413198380922159208911320565472243038994908457033890255757993354015023785310635779211333162014215662899691e-10
22	-2.23373909044492459199898938268232854041340430296401097812079402685538405952355782183993847150793915399310321901645119129943312704001790218941414e-10	-1.79125700049458620339203159169062620033152615248533974756117465817280349500478809943583651346917055021555468088191587693675091787812019524905272e-10
23	1.32283094460585981699664576085880865141803467082497041083632734310163122804227962877319399541124371609070202532189420500839769765359565789167646e-10	3.9039710262346832722835040715783601569067060388158661150848458880510351675020838683300758589410782625492878753871767890189874985579599649021518e-11
24	-6.7038373275696455468368614530463313822093978652160671286584204295735672915444716549617249540689463087487735281171278160266517675512215566538838e-11	6.645493927997363360516048460137871205649613324324418220184784333119225627685472741654238337391625979117429296138554919981163507311572968977566e-12
25	2.9542269571413579596715464275107903767408267911736970191783988587266098308480425020669268557649479570444375387392931359908893609277285967025062e-11	-1.5434562737681361056428989508880217052914292364452186543102486203913274192753355396650375269133532056584426755888232918180357933651398943807423e-11
26	-1.0877087680820499790264008153734174239341030897832340454536636610016347412111441062856224295701275992733912830259848130548282126191326754967447e-11	1.2659500546735403449768223117572700058535751067667978684202827931834529163473969595459851399890621056885723691251264349956104544485292742720048e-11
27	2.765603090701585554190950843262933598537739794874334363025976021911678748824805028768200071004510389032127960929740616828660939164503385388434e-12	-7.986794357627812341927881941990679112962906591496596501604829198540310582388404947153760688950235230260280004524362357005611426836972854956142e-12
