s	-1.40688864411679981340962466819564355798061587564877572441184554017261161002376048604795946229970346469130446318654880055484034728761136069513828243478473683	-0.497464021921347285006128328083151235274848576867467788219521478126358492339701496713365977866391109777000481031058291330655806554283635182110901055207293220
N	25

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	1.26746454506990901509979937271752447367991703582441949696482342041088239521826196680325684713518192746639513626639508783958292251259722386746293345583120868	0.89448120537577254579648321405902440782182972594734754437035214497196174961533390965650979034977501722686067378180453791024518983708463331584352278850557109
1	-0.1630858213206006093885078630775838138943330396400838061901634970264109917556405370483071692184423550880817957870691508785371214941550601540017754348955583	-0.49820831304046968522784113905898029774101621902447203299967470245534028940266341796034933807929887153746395479135587222209265173720490123832865878975254619
2	0.0829205587148805554671171160322465172713335035860543122105231640779170099178089082958927482934934042769920935873937215869597948590866030731389285260645768	-0.09651438891936081912154939457350887827225048414604214547480881688999051578320104072772456563544032361774639819836027455576415993868450330612891407429659617
3	0.16303420968319470156724165408607391615680796544426088639891528206506706706106968434938898092190282051557158465212532032055695750493894912282814738334267475	0.0561974955732315639119361135231024718541690283610599328335260802912454770399405349719069844663668989398863376900458399651543722752596260968208536807333043
4	0.13411688389088818854353008539440609629086920420291829014579002573153866495282128435015153381616954369496490917845980800590057722160517899096502759118983356	0.05684264350088488204972410726270401223186402847045382167732806703393314156845931385747029720773155094925304573215335640450885180887981464790228732847459047
5	0.07926213570335787412374812961611031178376433437830808516391718418967518463085589442729126652161744175903415549725301486656682958152273010840205101485764081	0.02376375824955101247717319547552869556272480609564054416997941269298520257447976643145130190973388837740017506759826712737098950296020937100647275643883422
6	0.03972253746348926161948096116856992725763128760709001286707554890879398071939209243011327490544786072617441674477014059607869287916197177106776599091382299	0.00632279821561049286791033608932825380260274320969457399426959689414207134536299169047477442059691664460358305851759334044616326099269724802288673326891569
7	0.01799126552009823409769545313245244274937966184822685140957931289843841907074321254470983111450213500099113538996461510683111928177988641855449190787314714	0.00147638747305548025589728536396400263391465138502186922201166864344151564435774277129850039749767863961672400761801726497396986448909444805940458727899755
